id,EPOS_R,EPOS_t,Hololens2_R,Hololens2_t
08|150right,0.2238065843715108 0.8635059168301106 -0.4519603349757009 -0.15183743377585157 -0.4271702560330196 -0.891331008136174 -0.9627336113880731 0.26811024590655724 0.03550900651389388,-399.56953401966086 174.52161383702182 900.887869160098,N/A,N/A
09|100left,-0.9040177046361684 -0.18354119948519038 -0.3860888729242154 0.412751121724013 -0.13960133868045277 -0.9000822061090835 0.1113036442346898 -0.9730488653352222 0.20195891772812247,-57.8163873478377 157.22231090359062 1329.58980641017,N/A,N/A
09|100mid,N/A,N/A,N/A,N/A
09|100right,N/A,N/A,N/A,N/A
09|150left,N/A,N/A,N/A,N/A
09|150mid,N/A,N/A,N/A,N/A
09|150right,N/A,N/A,N/A,N/A
10|100left,N/A,N/A,"42771.1 ,11046.0- ,73151.0","47871.0- ,27876.0- ,82686.0- ,48091.0"
10|100mid,N/A,N/A,"00181.1 ,58916.0- ,78511.0-","63121.0 ,68496.0- ,62996.0- ,01611.0-"
10|100right,N/A,N/A,"04072.1 ,13426.0- ,21150.0-","89190.0- ,89007.0 ,74007.0 ,15790.0"
10|150left,N/A,N/A,"85917.1 ,01126.0- ,53170.0","25772.0- ,93946.0- ,37156.0- ,26672.0"
10|150mid,N/A,N/A,"38366.1 ,70245.0- ,20230.0","54086.0 ,35291.0- ,64291.0- ,63086.0-"
10|150right,N/A,N/A,"14007.1 ,44336.0- ,98720.0","19510.0 ,00507.0- ,30907.0- ,08200.0-"
11|100left,N/A,N/A,"64232.1 ,59375.0- ,32800.0-","29872.0 ,72746.0- ,37156.0- ,51082.0-"
11|100mid,N/A,N/A,"34762.1 ,52185.0- ,18100.0-","74585.0 ,68293.0 ,20014.0 ,06875.0-"
11|100right,N/A,N/A,"51382.1 ,24555.0- ,08930.0-","77456.0 ,30973.0- ,67303.0- ,90975.0-"
11|150left,N/A,N/A,"16637.1 ,11575.0- ,44880.0","95022.0- ,09176.0 ,82176.0 ,79122.0"
11|150mid,N/A,N/A,"47757.1 ,63785.0- ,21140.0","51725.0 ,85864.0 ,30774.0 ,93425.0-"
11|150right,N/A,N/A,"35877.1 ,68175.0- ,77750.0-","52506.0 ,43463.0- ,47863.0- ,11406.0-"
12|100left,N/A,N/A,"07762.1 ,81606.0- ,63270.0","60382.0 ,55256.0 ,03746.0 ,89372.0-"
12|100mid,N/A,N/A,"41471.1 ,64306.0- ,45970.0","75940.0- ,06607.0 ,15307.0 ,28750.0"
12|100right,N/A,N/A,"44291.1 ,90885.0- ,91610.0","99076.0 ,21602.0 ,50322.0 ,14676.0-"
12|150left,N/A,N/A,"32079.1 ,88606.0- ,88822.0","98922.0 ,67076.0 ,98766.0 ,81622.0-"
12|150mid,N/A,N/A,"42776.1 ,78395.0- ,90460.0","32300.0- ,48707.0 ,53607.0 ,86400.0"
12|150right,N/A,N/A,"48727.1 ,13306.0- ,79400.0","25742.0 ,74266.0- ,20466.0- ,08242.0-"
13|100left,N/A,N/A,"33532.1 ,18716.0- ,62480.0","62471.0 ,33886.0 ,50186.0 ,29871.0-"
13|100mid,N/A,N/A,"12522.1 ,16306.0- ,90630.0","94894.0 ,44205.0 ,29005.0 ,31894.0-"
13|100right,N/A,N/A,"43502.1 ,26495.0- ,16140.0","12816.0 ,15843.0 ,85743.0 ,28216.0-"
13|150left,N/A,N/A,"97175.1 ,07116.0- ,48530.0-","85507.0 ,03180.0 ,78670.0 ,47996.0-"
13|150mid,N/A,N/A,"23217.1 ,21995.0- ,40030.0","60925.0 ,79864.0- ,95074.0- ,39725.0-"
13|150right,N/A,N/A,"01657.1 ,97695.0- ,04450.0","46064.0 ,79045.0 ,41735.0 ,95454.0-"
14|100left,N/A,N/A,N/A,N/A
14|100mid,N/A,N/A,N/A,N/A
14|100right,N/A,N/A,N/A,N/A
14|150left,N/A,N/A,N/A,N/A
14|150mid,N/A,N/A,N/A,N/A
14|150right,N/A,N/A,N/A,N/A
15|100left,N/A,N/A,"72432.1 ,58535.0- ,09220.0-","35826.0 ,75923.0- ,38033.0- ,10226.0-"
15|100mid,N/A,N/A,"57332.1 ,25225.0- ,56660.0","37407.0 ,27260.0 ,52750.0 ,73407.0-"
15|100right,N/A,N/A,"09932.1 ,00325.0- ,97720.0","46236.0 ,08523.0 ,31613.0 ,44726.0-"
15|150left,N/A,N/A,"08447.1 ,04935.0- ,76000.0","88466.0 ,86542.0- ,58342.0- ,09166.0-"
15|150mid,N/A,N/A,"89866.1 ,64335.0- ,88900.0-","66017.0 ,44050.0 ,50240.0 ,74007.0-"
15|150right,N/A,N/A,"64077.1 ,91145.0- ,53010.0","66866.0 ,49432.0 ,67432.0 ,72566.0-"
16|100left,-0.18069123798018205 -0.5107801194477672 -0.8405083854989869 -0.9325952284551606 -0.18249159086824351 0.3113887588289662 -0.31243689983716016 0.8401193301188242 -0.44337647071178937,-18.514514705564693 204.37187419066944 1406.4660601338387,"48342.1 ,15595.0- ,25520.0","93362.0 ,76266.0 ,03056.0 ,29162.0-"
16|100mid,0.9963384674253299 0.061473220877794915 0.0594197058512962 -0.08186471118990138 0.8863620214805832 0.4556978559732843 -0.02465415564035325 -0.45889368048793605 0.8881490655390554,-70.92184460261392 137.37134901469307 465.0087730963426,"52312.1 ,04006.0- ,72080.0","14796.0 ,94720.0 ,86720.0 ,16517.0-"
16|100right,N/A,N/A,"29162.1 ,67495.0- ,46530.0","96246.0 ,27772.0 ,08372.0 ,34956.0-"
16|150left,N/A,N/A,"62177.1 ,89395.0- ,54710.0","68256.0 ,98152.0- ,72352.0- ,79766.0-"
16|150mid,-0.42326413238455135 0.5349509327092075 0.7312147248451046 -0.9059778105143661 -0.25631215839560534 -0.33690990533699283 0.007188956276702296 -0.8050661942052562 0.5931414180914333,-125.71181080440658 46.9060714926532 336.6930303335977,"74727.1 ,14226.0- ,64801.0","34607.0 ,30310.0- ,10410.0- ,25707.0-"
16|150right,N/A,N/A,"02527.1 ,47006.0- ,84010.0","32703.0- ,75536.0 ,89236.0 ,18713.0"
17|100left,0.4481960371413083 -0.8881888529455769 0.1011972025010946 0.31753457832149323 0.264001965024129 0.9107550461203002 -0.835638740043219 -0.3760631914540682 0.4003553074112573,-106.70109285430303 223.52768959041006 1325.8069203573934,"41402.1 ,80226.0- ,43430.0-","49390.0 ,74107.0 ,53107.0 ,99480.0-"
17|100mid,N/A,N/A,"75102.1 ,94026.0- ,55620.0","07310.0- ,33807.0 ,84507.0 ,76910.0"
17|100right,N/A,N/A,"11683.1 ,07716.0- ,60370.0","33061.0- ,77817.0 ,00056.0 ,25781.0"
17|150left,N/A,N/A,"92757.1 ,80426.0- ,27202.0","31742.0- ,75366.0- ,75366.0- ,14142.0"
17|150mid,N/A,N/A,"71846.1 ,35026.0- ,95070.0","27571.0- ,17586.0- ,09586.0- ,07861.0"
17|150right,N/A,N/A,"49526.1 ,11426.0- ,83380.0","70552.0 ,66756.0- ,19266.0- ,49052.0-"
18|100left,N/A,N/A,N/A,N/A
18|100mid,N/A,N/A,N/A,N/A
18|100right,N/A,N/A,N/A,N/A
18|150left,N/A,N/A,N/A,N/A
18|150mid,N/A,N/A,N/A,N/A
18|150right,N/A,N/A,N/A,N/A
19|100left,N/A,N/A,N/A,N/A
19|100mid,N/A,N/A,"73051.1 ,03306.0- ,75650.0","58326.0 ,57443.0 ,68833.0 ,21416.0-"
19|100right,N/A,N/A,"35192.1 ,34916.0- ,73520.0","44242.0 ,25766.0 ,88066.0 ,36242.0-"
19|150left,N/A,N/A,"80196.1 ,66426.0- ,77210.0","57807.0 ,54720.0 ,59800.0 ,78407.0-"
19|150mid,N/A,N/A,"32956.1 ,13326.0- ,34940.0-","04582.0 ,24546.0- ,85156.0- ,42872.0-"
19|150right,N/A,N/A,"31967.1 ,09816.0- ,67010.0-","21607.0 ,46230.0- ,24730.0- ,53607.0-"
20|100left,N/A,N/A,N/A,N/A
20|100mid,N/A,N/A,"08491.1 ,49816.0- ,99460.0","20641.0- ,27196.0- ,53396.0- ,65931.0"
20|100right,N/A,N/A,N/A,N/A
20|150left,N/A,N/A,N/A,N/A
20|150mid,N/A,N/A,"19807.1 ,30536.0- ,30450.0-","58794.0 ,61694.0- ,59994.0- ,89505.0-"
20|150right,N/A,N/A,"95487.1 ,13216.0- ,29610.0-","96717.0 ,32000.0 ,41400.0- ,53696.0-"
21|100left,-0.6445566010230578 0.09052947664433722 0.7591779777733977 0.3746906941348578 0.9029504401984174 0.21044568485531728 -0.6664485515074224 0.4201010787941248 -0.6159232190700975,-75.05571440237443 309.5254990561912 2184.072558229951,N/A,N/A
21|100mid,N/A,N/A,N/A,N/A
21|100right,N/A,N/A,N/A,N/A
21|150left,N/A,N/A,N/A,N/A
21|150mid,N/A,N/A,N/A,N/A
21|150right,N/A,N/A,N/A,N/A
